Participant,Sync_illusion_statments ,Sync_control_statments,Sync_RHI_Index,Async_Illusion_statments ,ASync_control_statments,ASync_RHI_Index,Sync_Proprioceptive_drift,Async_Proprioceptive_drift,TBW_Right,TBW_Left
1,3.0,0.6,2.4,0.3,0.6,-0.3,4,2,154,89
2,2.3,-2.0,4.3,-1.7,-1.4,-0.3,na,na,114,117
3,1.0,-0.2,1.2,1.0,0.2,0.8,2,1,169,67
4,0.3,-3.0,3.3,-2.7,-3.0,0.3,-3,-3,117,115
5,0.3,-0.4,0.7,0.0,0.8,-0.8,3,-1,82,85
6,0.7,-0.8,1.5,1.0,-1.0,2.0,-7,0,80,41
7,3.0,0.2,2.8,3.0,0.0,3.0,1,5,114,97
8,-0.7,-3.0,2.3,-2.7,-3.0,0.3,2.5,1,102,134
9,1.0,0.8,0.2,-0.7,-0.6,-0.1,3,-0.5,65,35
10,-2.3,-2.4,0.1,-1.7,-2.4,0.7,7,1,82,19
11,-0.3,0.2,-0.5,-2.7,-0.4,-2.3,0,3,146,105
12,1.3,0.4,0.9,-1.3,-1.2,-0.1,2,1,91,85
13,2.0,0.2,1.8,-0.7,0.4,-1.1,6,4,141,119
14,2.7,0.2,2.5,2.3,0.4,1.9,8,5.5,137,152
15,1.3,0.0,1.3,0.3,-0.2,0.5,5,3,92,105
16,1.3,-1.2,2.5,2.7,-1.2,3.9,3,2,35,45
17,1.3,-0.2,1.5,1.7,1.0,0.7,0,3,90,96
18,3.0,-1.6,4.6,1.7,-1.2,2.9,-1,1,175,107
19,1.3,-1.4,2.7,1.3,-1.4,2.7,0,0,84,135
20,-0.3,-2.2,1.9,-0.7,-3.0,2.3,-1,0.5,105,115
21,1.3,-1.0,2.3,1.7,-0.6,2.3,1,0,151,142
22,1.0,-0.2,1.2,1.3,0.6,0.7,3,1,105,105
23,2.0,-0.2,2.2,1.7,0.0,1.7,2,4,78,118
24,1.3,-2.0,3.3,-1.0,-3.0,2.0,1.5,-0.5,130,155
25,0.0,-0.6,0.6,-0.7,-0.8,0.1,0,0,113,95
26,2.0,1.0,1.0,3.0,0.0,3.0,2,11,153,72
27,2.3,0.0,2.3,2.7,1.0,1.7,-1,8,68,56
28,0.7,-1.8,2.5,1.3,-0.4,1.7,1,-1,89,92
29,-1.0,-1.8,0.8,-0.7,-1.4,0.7,1,-3.5,83,98
30,1.7,0.6,1.1,2.0,0.8,1.2,-3,0,51,114
31,-2.3,-2.2,-0.1,-0.7,-1.8,1.1,-1,0,209,126
32,-1.3,-3.0,1.7,-3.0,-3.0,0.0,0,0,147,147
33,1.0,0.6,0.4,1.7,0.2,1.5,-2,2,108,69
34,-0.7,-1.4,0.7,1.0,-1.6,2.6,-1,-2,92,125
35,1.3,0.4,0.9,-0.3,-0.2,-0.1,-1,-3,68,109
